"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","monoatomic ion transport","101","1857","176","13832","1.85e-42","8.99e-39","4.27","8.99e-39","8.72e-39","2.16e-43","ENSMUSG00000001260,ENSMUSG00000056258,ENSMUSG00000054477,ENSMUSG00000059003,ENSMUSG00000027895,ENSMUSG00000057182,ENSMUSG00000041710,ENSMUSG00000021313,ENSMUSG00000062252,ENSMUSG00000037579,ENSMUSG00000031343,ENSMUSG00000007653,ENSMUSG00000054640,ENSMUSG00000028051,ENSMUSG00000060882,ENSMUSG00000025189,ENSMUSG00000064329,ENSMUSG00000020331,ENSMUSG00000092083,ENSMUSG00000026959,ENSMUSG00000020734,ENSMUSG00000032313,ENSMUSG00000050963,ENSMUSG00000058975,ENSMUSG00000004110,ENSMUSG00000030000,ENSMUSG00000025212,ENSMUSG00000022342,ENSMUSG00000040724,ENSMUSG00000004113,ENSMUSG00000014158,ENSMUSG00000039579,ENSMUSG00000030525,ENSMUSG00000032548,ENSMUSG00000031576,ENSMUSG00000032269,ENSMUSG00000057378,ENSMUSG00000033981,ENSMUSG00000010803,ENSMUSG00000030592,ENSMUSG00000055078,ENSMUSG00000028033,ENSMUSG00000024112,ENSMUSG00000000560,ENSMUSG00000071424,ENSMUSG00000027748,ENSMUSG00000020436,ENSMUSG00000016346,ENSMUSG00000030235,ENSMUSG00000079055,ENSMUSG00000025790,ENSMUSG00000042604,ENSMUSG00000001985,ENSMUSG00000024589,ENSMUSG00000047976,ENSMUSG00000051726,ENSMUSG00000041078,ENSMUSG00000001986,ENSMUSG00000063142,ENSMUSG00000001901,ENSMUSG00000039672,ENSMUSG00000058248,ENSMUSG00000052387,ENSMUSG00000051331,ENSMUSG00000063796,ENSMUSG00000005950,ENSMUSG00000029503,ENSMUSG00000040896,ENSMUSG00000068323,ENSMUSG00000035580,ENSMUSG00000018507,ENSMUSG00000018589,ENSMUSG00000034533,ENSMUSG00000033676,ENSMUSG00000029211,ENSMUSG00000029212,ENSMUSG00000055026,ENSMUSG00000015968,ENSMUSG00000059742,ENSMUSG00000029054,ENSMUSG00000056073,ENSMUSG00000027950,ENSMUSG00000025892,ENSMUSG00000047959,ENSMUSG00000002771,ENSMUSG00000000197,ENSMUSG00000021730,ENSMUSG00000017740,ENSMUSG00000020524,ENSMUSG00000009292,ENSMUSG00000030209,ENSMUSG00000025938,ENSMUSG00000075316,ENSMUSG00000075318,ENSMUSG00000034402,ENSMUSG00000028631,ENSMUSG00000022416,ENSMUSG00000022935,ENSMUSG00000035681,ENSMUSG00000074575,ENSMUSG00000032338"
"GOTERM_BP_DIRECT","chemical synaptic transmission","75","1857","130","13832","8.96e-32","2.18e-28","4.30","4.35e-28","2.11e-28","1.04e-32","ENSMUSG00000001260,ENSMUSG00000053025,ENSMUSG00000052572,ENSMUSG00000019828,ENSMUSG00000059003,ENSMUSG00000025551,ENSMUSG00000061762,ENSMUSG00000028747,ENSMUSG00000024109,ENSMUSG00000022523,ENSMUSG00000041552,ENSMUSG00000063142,ENSMUSG00000047013,ENSMUSG00000033419,ENSMUSG00000031343,ENSMUSG00000007653,ENSMUSG00000031144,ENSMUSG00000051331,ENSMUSG00000027400,ENSMUSG00000024897,ENSMUSG00000041268,ENSMUSG00000029503,ENSMUSG00000028613,ENSMUSG00000040896,ENSMUSG00000026959,ENSMUSG00000027849,ENSMUSG00000053519,ENSMUSG00000046159,ENSMUSG00000041380,ENSMUSG00000034891,ENSMUSG00000039106,ENSMUSG00000036510,ENSMUSG00000017412,ENSMUSG00000030731,ENSMUSG00000031302,ENSMUSG00000033676,ENSMUSG00000004110,ENSMUSG00000049583,ENSMUSG00000029054,ENSMUSG00000056073,ENSMUSG00000027950,ENSMUSG00000025892,ENSMUSG00000004113,ENSMUSG00000020882,ENSMUSG00000045613,ENSMUSG00000047910,ENSMUSG00000062151,ENSMUSG00000017740,ENSMUSG00000020886,ENSMUSG00000020524,ENSMUSG00000038486,ENSMUSG00000030209,ENSMUSG00000029819,ENSMUSG00000036422,ENSMUSG00000030525,ENSMUSG00000066392,ENSMUSG00000056755,ENSMUSG00000032269,ENSMUSG00000034997,ENSMUSG00000034799,ENSMUSG00000032773,ENSMUSG00000003352,ENSMUSG00000033981,ENSMUSG00000051111,ENSMUSG00000055078,ENSMUSG00000070570,ENSMUSG00000009376,ENSMUSG00000024798,ENSMUSG00000003279,ENSMUSG00000048988,ENSMUSG00000021721,ENSMUSG00000025889,ENSMUSG00000020436,ENSMUSG00000030519,ENSMUSG00000043460"
"GOTERM_BP_DIRECT","homophilic cell-cell adhesion","72","1857","144","13832","2.01e-25","3.25e-22","3.72","9.76e-22","3.15e-22","3.16e-26","ENSMUSG00000054793,ENSMUSG00000053141,ENSMUSG00000073591,ENSMUSG00000007440,ENSMUSG00000051242,ENSMUSG00000103092,ENSMUSG00000032087,ENSMUSG00000050272,ENSMUSG00000031391,ENSMUSG00000064115,ENSMUSG00000022883,ENSMUSG00000040420,ENSMUSG00000022321,ENSMUSG00000045876,ENSMUSG00000043458,ENSMUSG00000102312,ENSMUSG00000044022,ENSMUSG00000051486,ENSMUSG00000052613,ENSMUSG00000055333,ENSMUSG00000032036,ENSMUSG00000051375,ENSMUSG00000029108,ENSMUSG00000028217,ENSMUSG00000103037,ENSMUSG00000102543,ENSMUSG00000103310,ENSMUSG00000040452,ENSMUSG00000103677,ENSMUSG00000036510,ENSMUSG00000045062,ENSMUSG00000103793,ENSMUSG00000046191,ENSMUSG00000055421,ENSMUSG00000025370,ENSMUSG00000027750,ENSMUSG00000008153,ENSMUSG00000049100,ENSMUSG00000063687,ENSMUSG00000012819,ENSMUSG00000023036,ENSMUSG00000043313,ENSMUSG00000103707,ENSMUSG00000045657,ENSMUSG00000047910,ENSMUSG00000045498,ENSMUSG00000102697,ENSMUSG00000104318,ENSMUSG00000046387,ENSMUSG00000044043,ENSMUSG00000047033,ENSMUSG00000036422,ENSMUSG00000052516,ENSMUSG00000103144,ENSMUSG00000102692,ENSMUSG00000034755,ENSMUSG00000032452,ENSMUSG00000005338,ENSMUSG00000048347,ENSMUSG00000045689,ENSMUSG00000047307,ENSMUSG00000020598,ENSMUSG00000104148,ENSMUSG00000103332,ENSMUSG00000103255,ENSMUSG00000050505,ENSMUSG00000102206,ENSMUSG00000051599,ENSMUSG00000039488,ENSMUSG00000103770,ENSMUSG00000051678,ENSMUSG00000031841"
"GOTERM_BP_DIRECT","regulation of presynaptic membrane potential","35","1857","39","13832","4.78e-25","5.81e-22","6.68","2.33e-21","5.64e-22","1.06e-26","ENSMUSG00000058975,ENSMUSG00000029212,ENSMUSG00000059003,ENSMUSG00000056073,ENSMUSG00000025892,ENSMUSG00000027895,ENSMUSG00000001985,ENSMUSG00000040724,ENSMUSG00000042604,ENSMUSG00000002771,ENSMUSG00000047976,ENSMUSG00000026824,ENSMUSG00000020524,ENSMUSG00000001986,ENSMUSG00000063142,ENSMUSG00000030209,ENSMUSG00000038026,ENSMUSG00000075318,ENSMUSG00000032269,ENSMUSG00000007653,ENSMUSG00000031343,ENSMUSG00000029420,ENSMUSG00000033981,ENSMUSG00000058248,ENSMUSG00000010803,ENSMUSG00000055078,ENSMUSG00000028033,ENSMUSG00000064329,ENSMUSG00000000560,ENSMUSG00000026959,ENSMUSG00000043301,ENSMUSG00000022935,ENSMUSG00000096146,ENSMUSG00000035681,ENSMUSG00000034533"
"GOTERM_BP_DIRECT","G protein-coupled receptor signaling pathway","111","1857","303","13832","1.58e-24","1.54e-21","2.73","7.69e-21","1.49e-21","4.26e-25","ENSMUSG00000049044,ENSMUSG00000031070,ENSMUSG00000028747,ENSMUSG00000038390,ENSMUSG00000044667,ENSMUSG00000047415,ENSMUSG00000047259,ENSMUSG00000036362,ENSMUSG00000035431,ENSMUSG00000021719,ENSMUSG00000071658,ENSMUSG00000037605,ENSMUSG00000048240,ENSMUSG00000003974,ENSMUSG00000044933,ENSMUSG00000026678,ENSMUSG00000043843,ENSMUSG00000036192,ENSMUSG00000021303,ENSMUSG00000046159,ENSMUSG00000041380,ENSMUSG00000038530,ENSMUSG00000068122,ENSMUSG00000046793,ENSMUSG00000025905,ENSMUSG00000031748,ENSMUSG00000036353,ENSMUSG00000039106,ENSMUSG00000034730,ENSMUSG00000053164,ENSMUSG00000049583,ENSMUSG00000024524,ENSMUSG00000045613,ENSMUSG00000029778,ENSMUSG00000043398,ENSMUSG00000020963,ENSMUSG00000066197,ENSMUSG00000015243,ENSMUSG00000038760,ENSMUSG00000002459,ENSMUSG00000029819,ENSMUSG00000030406,ENSMUSG00000035773,ENSMUSG00000018634,ENSMUSG00000032773,ENSMUSG00000027584,ENSMUSG00000049112,ENSMUSG00000047904,ENSMUSG00000047507,ENSMUSG00000045967,ENSMUSG00000072875,ENSMUSG00000026938,ENSMUSG00000007480,ENSMUSG00000070337,ENSMUSG00000032259,ENSMUSG00000024186,ENSMUSG00000028782,ENSMUSG00000019828,ENSMUSG00000032360,ENSMUSG00000024462,ENSMUSG00000061762,ENSMUSG00000045318,ENSMUSG00000021478,ENSMUSG00000026527,ENSMUSG00000044067,ENSMUSG00000110105,ENSMUSG00000032528,ENSMUSG00000041907,ENSMUSG00000058400,ENSMUSG00000051177,ENSMUSG00000006127,ENSMUSG00000027568,ENSMUSG00000041468,ENSMUSG00000025946,ENSMUSG00000042793,ENSMUSG00000043004,ENSMUSG00000040133,ENSMUSG00000029072,ENSMUSG00000033569,ENSMUSG00000036437,ENSMUSG00000023192,ENSMUSG00000029212,ENSMUSG00000030043,ENSMUSG00000043999,ENSMUSG00000042429,ENSMUSG00000040009,ENSMUSG00000028004,ENSMUSG00000048216,ENSMUSG00000020123,ENSMUSG00000040125,ENSMUSG00000044288,ENSMUSG00000021219,ENSMUSG00000068696,ENSMUSG00000023918,ENSMUSG00000031932,ENSMUSG00000056755,ENSMUSG00000053647,ENSMUSG00000034997,ENSMUSG00000042816,ENSMUSG00000039809,ENSMUSG00000024798,ENSMUSG00000027824,ENSMUSG00000020599,ENSMUSG00000021721,ENSMUSG00000019775,ENSMUSG00000035283,ENSMUSG00000000766,ENSMUSG00000051079,ENSMUSG00000050541,ENSMUSG00000057614,ENSMUSG00000037624"
"GOTERM_BP_DIRECT","regulation of postsynaptic membrane potential","37","1857","47","13832","1.08e-22","8.74e-20","5.86","5.25e-19","8.48e-20","4.98e-24","ENSMUSG00000029211,ENSMUSG00000029212,ENSMUSG00000055026,ENSMUSG00000049583,ENSMUSG00000029054,ENSMUSG00000019828,ENSMUSG00000059003,ENSMUSG00000025892,ENSMUSG00000025551,ENSMUSG00000027895,ENSMUSG00000027950,ENSMUSG00000001985,ENSMUSG00000040724,ENSMUSG00000021730,ENSMUSG00000047976,ENSMUSG00000041078,ENSMUSG00000026527,ENSMUSG00000020524,ENSMUSG00000001986,ENSMUSG00000030209,ENSMUSG00000031618,ENSMUSG00000039579,ENSMUSG00000021719,ENSMUSG00000007653,ENSMUSG00000031343,ENSMUSG00000032773,ENSMUSG00000033981,ENSMUSG00000058740,ENSMUSG00000010803,ENSMUSG00000029361,ENSMUSG00000055078,ENSMUSG00000061576,ENSMUSG00000060882,ENSMUSG00000000560,ENSMUSG00000026959,ENSMUSG00000020436,ENSMUSG00000018589"
"GOTERM_BP_DIRECT","potassium ion transmembrane transport","61","1857","118","13832","1.41e-22","9.81e-20","3.85","6.87e-19","9.52e-20","2.08e-23","ENSMUSG00000056258,ENSMUSG00000054477,ENSMUSG00000004655,ENSMUSG00000027895,ENSMUSG00000042604,ENSMUSG00000047976,ENSMUSG00000051726,ENSMUSG00000063142,ENSMUSG00000001901,ENSMUSG00000039672,ENSMUSG00000036760,ENSMUSG00000037610,ENSMUSG00000037579,ENSMUSG00000028051,ENSMUSG00000058248,ENSMUSG00000007097,ENSMUSG00000025221,ENSMUSG00000060882,ENSMUSG00000063873,ENSMUSG00000020331,ENSMUSG00000092083,ENSMUSG00000040896,ENSMUSG00000035580,ENSMUSG00000060681,ENSMUSG00000036353,ENSMUSG00000050963,ENSMUSG00000027273,ENSMUSG00000058975,ENSMUSG00000005360,ENSMUSG00000059742,ENSMUSG00000079436,ENSMUSG00000049265,ENSMUSG00000000794,ENSMUSG00000022342,ENSMUSG00000040724,ENSMUSG00000047959,ENSMUSG00000009246,ENSMUSG00000000197,ENSMUSG00000021730,ENSMUSG00000017740,ENSMUSG00000041771,ENSMUSG00000026824,ENSMUSG00000030249,ENSMUSG00000037996,ENSMUSG00000031576,ENSMUSG00000050138,ENSMUSG00000034402,ENSMUSG00000058740,ENSMUSG00000028033,ENSMUSG00000070570,ENSMUSG00000028631,ENSMUSG00000027827,ENSMUSG00000043301,ENSMUSG00000096146,ENSMUSG00000037341,ENSMUSG00000035681,ENSMUSG00000074575,ENSMUSG00000075224,ENSMUSG00000032338,ENSMUSG00000016346,ENSMUSG00000037624"
"GOTERM_BP_DIRECT","potassium ion transport","55","1857","102","13832","1.59e-21","9.64e-19","4.02","7.71e-18","9.36e-19","2.15e-22","ENSMUSG00000040907,ENSMUSG00000079056,ENSMUSG00000056258,ENSMUSG00000054477,ENSMUSG00000042529,ENSMUSG00000004655,ENSMUSG00000027895,ENSMUSG00000042604,ENSMUSG00000047976,ENSMUSG00000051726,ENSMUSG00000063142,ENSMUSG00000001901,ENSMUSG00000039672,ENSMUSG00000038026,ENSMUSG00000036760,ENSMUSG00000037610,ENSMUSG00000037579,ENSMUSG00000028051,ENSMUSG00000058248,ENSMUSG00000007097,ENSMUSG00000060882,ENSMUSG00000020331,ENSMUSG00000040136,ENSMUSG00000092083,ENSMUSG00000040896,ENSMUSG00000035580,ENSMUSG00000050963,ENSMUSG00000058975,ENSMUSG00000059742,ENSMUSG00000079436,ENSMUSG00000049265,ENSMUSG00000000794,ENSMUSG00000022342,ENSMUSG00000040724,ENSMUSG00000047959,ENSMUSG00000021730,ENSMUSG00000017740,ENSMUSG00000026824,ENSMUSG00000030249,ENSMUSG00000031576,ENSMUSG00000034402,ENSMUSG00000058740,ENSMUSG00000028033,ENSMUSG00000070570,ENSMUSG00000041329,ENSMUSG00000028631,ENSMUSG00000027827,ENSMUSG00000043301,ENSMUSG00000096146,ENSMUSG00000035681,ENSMUSG00000074575,ENSMUSG00000036578,ENSMUSG00000032338,ENSMUSG00000016346,ENSMUSG00000037624"
"GOTERM_BP_DIRECT","transmembrane transport","126","1857","397","13832","1.86e-21","1.00e-18","2.36","9.03e-18","9.73e-19","6.22e-22","ENSMUSG00000056258,ENSMUSG00000053025,ENSMUSG00000004655,ENSMUSG00000027896,ENSMUSG00000027895,ENSMUSG00000027015,ENSMUSG00000029830,ENSMUSG00000057182,ENSMUSG00000041710,ENSMUSG00000020620,ENSMUSG00000021313,ENSMUSG00000025759,ENSMUSG00000037579,ENSMUSG00000054640,ENSMUSG00000028051,ENSMUSG00000030495,ENSMUSG00000058441,ENSMUSG00000041828,ENSMUSG00000060882,ENSMUSG00000022199,ENSMUSG00000063873,ENSMUSG00000025189,ENSMUSG00000024650,ENSMUSG00000064329,ENSMUSG00000020331,ENSMUSG00000028217,ENSMUSG00000092083,ENSMUSG00000042078,ENSMUSG00000040055,ENSMUSG00000022756,ENSMUSG00000036196,ENSMUSG00000032313,ENSMUSG00000050963,ENSMUSG00000058975,ENSMUSG00000022180,ENSMUSG00000004110,ENSMUSG00000025212,ENSMUSG00000022342,ENSMUSG00000040569,ENSMUSG00000040724,ENSMUSG00000004113,ENSMUSG00000041771,ENSMUSG00000015243,ENSMUSG00000038486,ENSMUSG00000014158,ENSMUSG00000030249,ENSMUSG00000032548,ENSMUSG00000031576,ENSMUSG00000032269,ENSMUSG00000057378,ENSMUSG00000030592,ENSMUSG00000028033,ENSMUSG00000024112,ENSMUSG00000070570,ENSMUSG00000002346,ENSMUSG00000029408,ENSMUSG00000022575,ENSMUSG00000041762,ENSMUSG00000009378,ENSMUSG00000000605,ENSMUSG00000027748,ENSMUSG00000096146,ENSMUSG00000030237,ENSMUSG00000016346,ENSMUSG00000018800,ENSMUSG00000069072,ENSMUSG00000030235,ENSMUSG00000079055,ENSMUSG00000039838,ENSMUSG00000025790,ENSMUSG00000044749,ENSMUSG00000042604,ENSMUSG00000023017,ENSMUSG00000047976,ENSMUSG00000037490,ENSMUSG00000051726,ENSMUSG00000027737,ENSMUSG00000063142,ENSMUSG00000001901,ENSMUSG00000018459,ENSMUSG00000030450,ENSMUSG00000058248,ENSMUSG00000052387,ENSMUSG00000051331,ENSMUSG00000063796,ENSMUSG00000040136,ENSMUSG00000040896,ENSMUSG00000068323,ENSMUSG00000035580,ENSMUSG00000046352,ENSMUSG00000060681,ENSMUSG00000018507,ENSMUSG00000034533,ENSMUSG00000034258,ENSMUSG00000025094,ENSMUSG00000028360,ENSMUSG00000026220,ENSMUSG00000015968,ENSMUSG00000059742,ENSMUSG00000047959,ENSMUSG00000000197,ENSMUSG00000021730,ENSMUSG00000026904,ENSMUSG00000023912,ENSMUSG00000017740,ENSMUSG00000022822,ENSMUSG00000009292,ENSMUSG00000025938,ENSMUSG00000075316,ENSMUSG00000037996,ENSMUSG00000075318,ENSMUSG00000034402,ENSMUSG00000051111,ENSMUSG00000029847,ENSMUSG00000028631,ENSMUSG00000026614,ENSMUSG00000029843,ENSMUSG00000027827,ENSMUSG00000022416,ENSMUSG00000022899,ENSMUSG00000035681,ENSMUSG00000037341,ENSMUSG00000074575,ENSMUSG00000019935,ENSMUSG00000032338,ENSMUSG00000050822"
"GOTERM_BP_DIRECT","modulation of chemical synaptic transmission","66","1857","142","13832","3.56e-21","1.73e-18","3.46","1.73e-17","1.68e-18","6.43e-22","ENSMUSG00000015829,ENSMUSG00000054477,ENSMUSG00000056296,ENSMUSG00000032482,ENSMUSG00000059003,ENSMUSG00000031391,ENSMUSG00000001985,ENSMUSG00000041115,ENSMUSG00000044667,ENSMUSG00000041078,ENSMUSG00000022602,ENSMUSG00000027737,ENSMUSG00000029838,ENSMUSG00000001986,ENSMUSG00000047495,ENSMUSG00000033615,ENSMUSG00000035513,ENSMUSG00000031144,ENSMUSG00000038738,ENSMUSG00000003974,ENSMUSG00000028613,ENSMUSG00000025867,ENSMUSG00000020734,ENSMUSG00000040490,ENSMUSG00000039542,ENSMUSG00000018589,ENSMUSG00000059857,ENSMUSG00000031302,ENSMUSG00000031772,ENSMUSG00000049583,ENSMUSG00000056073,ENSMUSG00000025892,ENSMUSG00000041014,ENSMUSG00000004113,ENSMUSG00000025855,ENSMUSG00000063887,ENSMUSG00000000276,ENSMUSG00000062151,ENSMUSG00000042388,ENSMUSG00000026825,ENSMUSG00000020524,ENSMUSG00000021936,ENSMUSG00000039579,ENSMUSG00000036422,ENSMUSG00000030525,ENSMUSG00000053647,ENSMUSG00000032589,ENSMUSG00000037428,ENSMUSG00000032177,ENSMUSG00000033981,ENSMUSG00000028399,ENSMUSG00000009376,ENSMUSG00000047507,ENSMUSG00000002341,ENSMUSG00000022376,ENSMUSG00000020431,ENSMUSG00000003279,ENSMUSG00000071424,ENSMUSG00000036095,ENSMUSG00000022415,ENSMUSG00000042453,ENSMUSG00000023826,ENSMUSG00000022935,ENSMUSG00000046178,ENSMUSG00000017631,ENSMUSG00000032259"
