"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"
"GO:0022613"	"GO:0022613"	"ribonucleoprotein complex biogenesis"	438	-0.521378364560926	-2.78521017498048	1.31133798153695e-38	7.64641177034194e-35	4.93753258942912e-35	3874	"tags=60%, list=24%, signal=47%"
"GO:0042391"	"GO:0042391"	"regulation of membrane potential"	454	0.57230027007889	2.58326896534777	4.28571089319849e-38	1.24949901091202e-34	8.06841466577421e-35	2419	"tags=44%, list=15%, signal=38%"
"GO:0042254"	"GO:0042254"	"ribosome biogenesis"	307	-0.575356440255953	-2.9547764604994	1.52965672972783e-36	2.97314279701432e-33	1.91985337622331e-33	4249	"tags=62%, list=26%, signal=46%"
"GO:0048167"	"GO:0048167"	"regulation of synaptic plasticity"	246	0.654928678038553	2.80399387657338	1.25377323541529e-34	1.82768793392664e-31	1.18019654291592e-31	2956	"tags=56%, list=18%, signal=46%"
"GO:0050890"	"GO:0050890"	"cognition"	358	0.588806443616295	2.61294986121698	3.48720096376102e-33	4.0667737639381e-30	2.62604586260488e-30	2492	"tags=41%, list=15%, signal=35%"
"GO:0007611"	"GO:0007611"	"learning or memory"	324	0.599849561709545	2.64005672477911	2.40275233064827e-32	2.33507480666835e-29	1.50783247135594e-29	2754	"tags=44%, list=17%, signal=38%"
"GO:0051276"	"GO:0051276"	"chromosome organization"	497	-0.468032022058535	-2.52438461687746	1.31856070472685e-31	1.09836106703746e-28	7.09246863279388e-29	3274	"tags=44%, list=20%, signal=36%"
"GO:0007612"	"GO:0007612"	"learning"	189	0.677525392010323	2.85237375309475	3.34095976287483e-30	2.43514204716539e-27	1.57244908839517e-27	2465	"tags=51%, list=15%, signal=44%"
"GO:0050803"	"GO:0050803"	"regulation of synapse structure or activity"	402	0.55277587245852	2.47509151373365	1.07201565724907e-29	6.94547033046589e-27	4.4849122876958e-27	2946	"tags=45%, list=18%, signal=38%"
"GO:0006260"	"GO:0006260"	"DNA replication"	261	-0.563453654468969	-2.83068966499161	2.79986236901429e-29	1.63259974737223e-26	1.05422186252254e-26	3369	"tags=56%, list=21%, signal=45%"
"GO:0099003"	"GO:0099003"	"vesicle-mediated transport in synapse"	311	0.587951255183113	2.57009387560143	3.29380075395578e-29	1.74601383602874e-26	1.12745696621051e-26	3036	"tags=50%, list=19%, signal=41%"
