"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","embryonic skeletal system morphogenesis","15","853","33","13832","2.78e-9","1.13e-5","7.37","1.13e-5","1.11e-5","2.29e-10","ENSMUSG00000014603,ENSMUSG00000024134,ENSMUSG00000026586,ENSMUSG00000000126,ENSMUSG00000027868,ENSMUSG00000040310,ENSMUSG00000046714,ENSMUSG00000021318,ENSMUSG00000039476,ENSMUSG00000021835,ENSMUSG00000032717,ENSMUSG00000034460,ENSMUSG00000051367,ENSMUSG00000036602,ENSMUSG00000035799"
"GOTERM_BP_DIRECT","embryonic cranial skeleton morphogenesis","14","853","33","13832","3.04e-8","5.51e-5","6.88","1.24e-4","5.42e-5","2.82e-9","ENSMUSG00000024134,ENSMUSG00000026586,ENSMUSG00000027868,ENSMUSG00000046714,ENSMUSG00000021359,ENSMUSG00000039476,ENSMUSG00000021835,ENSMUSG00000007805,ENSMUSG00000014030,ENSMUSG00000034460,ENSMUSG00000051367,ENSMUSG00000031737,ENSMUSG00000032402,ENSMUSG00000035799"
"GOTERM_BP_DIRECT","embryonic limb morphogenesis","17","853","52","13832","4.75e-8","5.51e-5","5.30","1.93e-4","5.42e-5","6.52e-9","ENSMUSG00000048450,ENSMUSG00000057123,ENSMUSG00000027985,ENSMUSG00000026586,ENSMUSG00000002633,ENSMUSG00000024598,ENSMUSG00000027833,ENSMUSG00000027547,ENSMUSG00000024868,ENSMUSG00000021469,ENSMUSG00000021318,ENSMUSG00000039476,ENSMUSG00000021835,ENSMUSG00000038765,ENSMUSG00000034673,ENSMUSG00000036602,ENSMUSG00000035799"
"GOTERM_BP_DIRECT","embryonic hindlimb morphogenesis","13","853","29","13832","5.41e-8","5.51e-5","7.27","2.20e-4","5.42e-5","4.59e-9","ENSMUSG00000055653,ENSMUSG00000014603,ENSMUSG00000027684,ENSMUSG00000048450,ENSMUSG00000002633,ENSMUSG00000040310,ENSMUSG00000001288,ENSMUSG00000021469,ENSMUSG00000025219,ENSMUSG00000066687,ENSMUSG00000021835,ENSMUSG00000051920,ENSMUSG00000035799"
"GOTERM_BP_DIRECT","embryonic forelimb morphogenesis","12","853","28","13832","3.70e-7","3.01e-4","6.95","1.51e-3","2.97e-4","3.40e-8","ENSMUSG00000021469,ENSMUSG00000021359,ENSMUSG00000027684,ENSMUSG00000014603,ENSMUSG00000048450,ENSMUSG00000002633,ENSMUSG00000000126,ENSMUSG00000040310,ENSMUSG00000004885,ENSMUSG00000027833,ENSMUSG00000051920,ENSMUSG00000035799"
"GOTERM_BP_DIRECT","negative regulation of apoptotic process","58","853","471","13832","6.93e-7","4.71e-4","2.00","2.82e-3","4.64e-4","3.21e-7","ENSMUSG00000029591,ENSMUSG00000002633,ENSMUSG00000026525,ENSMUSG00000024868,ENSMUSG00000050957,ENSMUSG00000003849,ENSMUSG00000021359,ENSMUSG00000022449,ENSMUSG00000021318,ENSMUSG00000007805,ENSMUSG00000034460,ENSMUSG00000030867,ENSMUSG00000051367,ENSMUSG00000045394,ENSMUSG00000029084,ENSMUSG00000057789,ENSMUSG00000030069,ENSMUSG00000032402,ENSMUSG00000035799,ENSMUSG00000033685,ENSMUSG00000028333,ENSMUSG00000028179,ENSMUSG00000057113,ENSMUSG00000026196,ENSMUSG00000020053,ENSMUSG00000026674,ENSMUSG00000022676,ENSMUSG00000068686,ENSMUSG00000021469,ENSMUSG00000047443,ENSMUSG00000032679,ENSMUSG00000079110,ENSMUSG00000005087,ENSMUSG00000004231,ENSMUSG00000048450,ENSMUSG00000042745,ENSMUSG00000020122,ENSMUSG00000001288,ENSMUSG00000025219,ENSMUSG00000030847,ENSMUSG00000035455,ENSMUSG00000056758,ENSMUSG00000054612,ENSMUSG00000061878,ENSMUSG00000029322,ENSMUSG00000028036,ENSMUSG00000017716,ENSMUSG00000031162,ENSMUSG00000027985,ENSMUSG00000025001,ENSMUSG00000009772,ENSMUSG00000006389,ENSMUSG00000000320,ENSMUSG00000040152,ENSMUSG00000046694,ENSMUSG00000025927,ENSMUSG00000037148,ENSMUSG00000027070"
"GOTERM_BP_DIRECT","osteoblast differentiation","20","853","89","13832","1.54e-6","8.94e-4","3.64","6.24e-3","8.81e-4","3.47e-7","ENSMUSG00000009900,ENSMUSG00000054675,ENSMUSG00000026185,ENSMUSG00000027985,ENSMUSG00000020053,ENSMUSG00000002633,ENSMUSG00000042821,ENSMUSG00000022676,ENSMUSG00000027833,ENSMUSG00000006445,ENSMUSG00000025407,ENSMUSG00000021469,ENSMUSG00000021835,ENSMUSG00000007805,ENSMUSG00000050199,ENSMUSG00000035455,ENSMUSG00000032402,ENSMUSG00000051920,ENSMUSG00000019997,ENSMUSG00000035799"
"GOTERM_BP_DIRECT","positive regulation of cell population proliferation","52","853","432","13832","5.52e-6","2.81e-3","1.95","2.22e-2","2.77e-3","2.61e-6","ENSMUSG00000009900,ENSMUSG00000002633,ENSMUSG00000007888,ENSMUSG00000006235,ENSMUSG00000022367,ENSMUSG00000020542,ENSMUSG00000021835,ENSMUSG00000035273,ENSMUSG00000045394,ENSMUSG00000038146,ENSMUSG00000029084,ENSMUSG00000032006,ENSMUSG00000013415,ENSMUSG00000028333,ENSMUSG00000056220,ENSMUSG00000057113,ENSMUSG00000053110,ENSMUSG00000048001,ENSMUSG00000020053,ENSMUSG00000026674,ENSMUSG00000001435,ENSMUSG00000028736,ENSMUSG00000025105,ENSMUSG00000002603,ENSMUSG00000039942,ENSMUSG00000019997,ENSMUSG00000030760,ENSMUSG00000004231,ENSMUSG00000028121,ENSMUSG00000021175,ENSMUSG00000004872,ENSMUSG00000020122,ENSMUSG00000022101,ENSMUSG00000001288,ENSMUSG00000026628,ENSMUSG00000020689,ENSMUSG00000025219,ENSMUSG00000020649,ENSMUSG00000034165,ENSMUSG00000056758,ENSMUSG00000070348,ENSMUSG00000031520,ENSMUSG00000061878,ENSMUSG00000057777,ENSMUSG00000029322,ENSMUSG00000028036,ENSMUSG00000032492,ENSMUSG00000042379,ENSMUSG00000025407,ENSMUSG00000040152,ENSMUSG00000025927,ENSMUSG00000074852"
"GOTERM_BP_DIRECT","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","8","853","14","13832","7.69e-6","3.13e-3","9.27","3.08e-2","3.08e-3","4.36e-7","ENSMUSG00000078452,ENSMUSG00000073409,ENSMUSG00000035929,ENSMUSG00000060550,ENSMUSG00000061232,ENSMUSG00000016206,ENSMUSG00000053835,ENSMUSG00000053219"
"GOTERM_BP_DIRECT","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","8","853","14","13832","7.69e-6","3.13e-3","9.27","3.08e-2","3.08e-3","4.36e-7","ENSMUSG00000078452,ENSMUSG00000073409,ENSMUSG00000035929,ENSMUSG00000060550,ENSMUSG00000061232,ENSMUSG00000016206,ENSMUSG00000053835,ENSMUSG00000053219"
"GOTERM_BP_DIRECT","positive regulation of smooth muscle cell proliferation","17","853","74","13832","8.57e-6","3.18e-3","3.73","3.43e-2","3.13e-3","1.89e-6","ENSMUSG00000054342,ENSMUSG00000031740,ENSMUSG00000016918,ENSMUSG00000032387,ENSMUSG00000048001,ENSMUSG00000059883,ENSMUSG00000020053,ENSMUSG00000028587,ENSMUSG00000020122,ENSMUSG00000000320,ENSMUSG00000040152,ENSMUSG00000020689,ENSMUSG00000002603,ENSMUSG00000021835,ENSMUSG00000032849,ENSMUSG00000038146,ENSMUSG00000032006"
"GOTERM_BP_DIRECT","canonical Wnt signaling pathway","17","853","76","13832","1.23e-5","4.17e-3","3.63","4.89e-2","4.11e-3","2.80e-6","ENSMUSG00000009900,ENSMUSG00000078302,ENSMUSG00000049791,ENSMUSG00000081683,ENSMUSG00000027985,ENSMUSG00000030170,ENSMUSG00000020592,ENSMUSG00000027004,ENSMUSG00000000126,ENSMUSG00000024985,ENSMUSG00000042821,ENSMUSG00000045005,ENSMUSG00000002603,ENSMUSG00000041075,ENSMUSG00000036961,ENSMUSG00000070526,ENSMUSG00000055799"
"GOTERM_BP_DIRECT","metanephros development","11","853","33","13832","1.88e-5","5.78e-3","5.41","7.37e-2","5.69e-3","2.54e-6","ENSMUSG00000007872,ENSMUSG00000025219,ENSMUSG00000004231,ENSMUSG00000021318,ENSMUSG00000021835,ENSMUSG00000051367,ENSMUSG00000024134,ENSMUSG00000037211,ENSMUSG00000031734,ENSMUSG00000002633,ENSMUSG00000046714"
"GOTERM_BP_DIRECT","canonical glycolysis","9","853","21","13832","1.99e-5","5.78e-3","6.95","7.77e-2","5.69e-3","1.85e-6","ENSMUSG00000030695,ENSMUSG00000000628,ENSMUSG00000053110,ENSMUSG00000011752,ENSMUSG00000059040,ENSMUSG00000020277,ENSMUSG00000020475,ENSMUSG00000062070,ENSMUSG00000023456"
"GOTERM_BP_DIRECT","positive regulation of cell migration","34","853","250","13832","2.77e-5","7.51e-3","2.21","1.07e-1","7.40e-3","1.14e-5","ENSMUSG00000029859,ENSMUSG00000000555,ENSMUSG00000020122,ENSMUSG00000042821,ENSMUSG00000027239,ENSMUSG00000022367,ENSMUSG00000043013,ENSMUSG00000024965,ENSMUSG00000021359,ENSMUSG00000020689,ENSMUSG00000001348,ENSMUSG00000021835,ENSMUSG00000035273,ENSMUSG00000007805,ENSMUSG00000032402,ENSMUSG00000032006,ENSMUSG00000052316,ENSMUSG00000035799,ENSMUSG00000031520,ENSMUSG00000061878,ENSMUSG00000030695,ENSMUSG00000031740,ENSMUSG00000049791,ENSMUSG00000027985,ENSMUSG00000030170,ENSMUSG00000020053,ENSMUSG00000001435,ENSMUSG00000021464,ENSMUSG00000022676,ENSMUSG00000008843,ENSMUSG00000006445,ENSMUSG00000040152,ENSMUSG00000025407,ENSMUSG00000002603"
"GOTERM_BP_DIRECT","cell population proliferation","27","853","179","13832","3.80e-5","9.05e-3","2.45","1.43e-1","8.91e-3","1.38e-5","ENSMUSG00000035834,ENSMUSG00000062939,ENSMUSG00000026185,ENSMUSG00000050295,ENSMUSG00000026068,ENSMUSG00000002633,ENSMUSG00000004872,ENSMUSG00000026669,ENSMUSG00000038765,ENSMUSG00000078249,ENSMUSG00000050199,ENSMUSG00000032702,ENSMUSG00000057789,ENSMUSG00000070348,ENSMUSG00000032402,ENSMUSG00000028691,ENSMUSG00000057777,ENSMUSG00000049791,ENSMUSG00000024134,ENSMUSG00000020053,ENSMUSG00000062248,ENSMUSG00000046714,ENSMUSG00000046711,ENSMUSG00000021127,ENSMUSG00000002603,ENSMUSG00000027070,ENSMUSG00000019996"
"GOTERM_BP_DIRECT","positive regulation of epithelial to mesenchymal transition","13","853","50","13832","3.80e-5","9.05e-3","4.22","1.44e-1","8.91e-3","7.15e-6","ENSMUSG00000034205,ENSMUSG00000050295,ENSMUSG00000027985,ENSMUSG00000024985,ENSMUSG00000042821,ENSMUSG00000027239,ENSMUSG00000020542,ENSMUSG00000002603,ENSMUSG00000021835,ENSMUSG00000032402,ENSMUSG00000036602,ENSMUSG00000035403,ENSMUSG00000035799"
"GOTERM_BP_DIRECT","midbrain development","10","853","29","13832","4.00e-5","9.05e-3","5.59","1.50e-1","8.91e-3","5.15e-6","ENSMUSG00000020037,ENSMUSG00000009900,ENSMUSG00000028173,ENSMUSG00000059246,ENSMUSG00000048450,ENSMUSG00000021848,ENSMUSG00000038765,ENSMUSG00000026686,ENSMUSG00000002633,ENSMUSG00000028417"
"GOTERM_BP_DIRECT","dopaminergic neuron differentiation","9","853","23","13832","4.28e-5","9.13e-3","6.35","1.60e-1","8.99e-3","4.61e-6","ENSMUSG00000009900,ENSMUSG00000025219,ENSMUSG00000004231,ENSMUSG00000021848,ENSMUSG00000014030,ENSMUSG00000038765,ENSMUSG00000026686,ENSMUSG00000002633,ENSMUSG00000051920"
"GOTERM_BP_DIRECT","cartilage development","17","853","84","13832","4.56e-5","9.13e-3","3.28","1.70e-1","8.99e-3","1.17e-5","ENSMUSG00000016918,ENSMUSG00000005087,ENSMUSG00000048001,ENSMUSG00000026043,ENSMUSG00000026147,ENSMUSG00000022483,ENSMUSG00000006800,ENSMUSG00000026586,ENSMUSG00000020583,ENSMUSG00000028736,ENSMUSG00000027833,ENSMUSG00000029546,ENSMUSG00000021469,ENSMUSG00000066687,ENSMUSG00000039476,ENSMUSG00000021835,ENSMUSG00000036446"
