"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","extracellular region","134","862","1143","14032","1.58e-13","8.68e-11","1.91","8.68e-11","8.51e-11","7.87e-14","ENSMUSG00000016918,ENSMUSG00000005220,ENSMUSG00000026043,ENSMUSG00000059883,ENSMUSG00000022483,ENSMUSG00000002633,ENSMUSG00000020583,ENSMUSG00000007888,ENSMUSG00000050957,ENSMUSG00000029718,ENSMUSG00000021835,ENSMUSG00000035273,ENSMUSG00000030669,ENSMUSG00000017723,ENSMUSG00000035279,ENSMUSG00000019987,ENSMUSG00000056656,ENSMUSG00000051920,ENSMUSG00000032796,ENSMUSG00000031740,ENSMUSG00000057751,ENSMUSG00000081683,ENSMUSG00000020053,ENSMUSG00000027004,ENSMUSG00000001435,ENSMUSG00000028339,ENSMUSG00000022236,ENSMUSG00000039070,ENSMUSG00000044254,ENSMUSG00000037440,ENSMUSG00000036596,ENSMUSG00000032679,ENSMUSG00000037446,ENSMUSG00000053835,ENSMUSG00000070436,ENSMUSG00000019997,ENSMUSG00000034205,ENSMUSG00000000392,ENSMUSG00000034449,ENSMUSG00000029372,ENSMUSG00000029373,ENSMUSG00000042988,ENSMUSG00000025573,ENSMUSG00000022101,ENSMUSG00000027239,ENSMUSG00000025219,ENSMUSG00000071553,ENSMUSG00000035493,ENSMUSG00000069581,ENSMUSG00000031613,ENSMUSG00000010751,ENSMUSG00000038403,ENSMUSG00000078452,ENSMUSG00000028031,ENSMUSG00000029762,ENSMUSG00000028036,ENSMUSG00000031283,ENSMUSG00000001014,ENSMUSG00000035929,ENSMUSG00000061232,ENSMUSG00000001494,ENSMUSG00000024598,ENSMUSG00000009654,ENSMUSG00000068428,ENSMUSG00000040152,ENSMUSG00000027070,ENSMUSG00000053219,ENSMUSG00000031444,ENSMUSG00000035403,ENSMUSG00000009900,ENSMUSG00000033453,ENSMUSG00000002274,ENSMUSG00000054675,ENSMUSG00000060550,ENSMUSG00000021871,ENSMUSG00000006235,ENSMUSG00000061082,ENSMUSG00000024868,ENSMUSG00000022449,ENSMUSG00000001348,ENSMUSG00000009350,ENSMUSG00000036560,ENSMUSG00000018339,ENSMUSG00000036961,ENSMUSG00000036446,ENSMUSG00000030069,ENSMUSG00000032006,ENSMUSG00000030695,ENSMUSG00000028370,ENSMUSG00000024053,ENSMUSG00000027562,ENSMUSG00000030170,ENSMUSG00000032193,ENSMUSG00000006800,ENSMUSG00000006369,ENSMUSG00000079042,ENSMUSG00000023886,ENSMUSG00000068686,ENSMUSG00000019278,ENSMUSG00000002603,ENSMUSG00000047443,ENSMUSG00000031825,ENSMUSG00000016206,ENSMUSG00000054204,ENSMUSG00000033688,ENSMUSG00000005087,ENSMUSG00000026185,ENSMUSG00000028369,ENSMUSG00000069308,ENSMUSG00000045532,ENSMUSG00000021613,ENSMUSG00000019880,ENSMUSG00000034401,ENSMUSG00000038843,ENSMUSG00000062070,ENSMUSG00000033544,ENSMUSG00000028197,ENSMUSG00000031520,ENSMUSG00000025082,ENSMUSG00000029163,ENSMUSG00000028871,ENSMUSG00000027820,ENSMUSG00000020592,ENSMUSG00000066842,ENSMUSG00000000126,ENSMUSG00000042379,ENSMUSG00000073409,ENSMUSG00000068220,ENSMUSG00000014361,ENSMUSG00000042251,ENSMUSG00000038677,ENSMUSG00000074852,ENSMUSG00000050700,ENSMUSG00000039646"
"GOTERM_CC_DIRECT","cell surface","77","862","563","14032","4.83e-11","1.33e-8","2.23","2.65e-8","1.30e-8","2.02e-11","ENSMUSG00000016918,ENSMUSG00000009900,ENSMUSG00000005220,ENSMUSG00000033453,ENSMUSG00000059883,ENSMUSG00000032041,ENSMUSG00000060550,ENSMUSG00000002633,ENSMUSG00000059040,ENSMUSG00000006235,ENSMUSG00000021676,ENSMUSG00000050675,ENSMUSG00000045394,ENSMUSG00000038146,ENSMUSG00000039115,ENSMUSG00000029084,ENSMUSG00000034664,ENSMUSG00000051920,ENSMUSG00000034028,ENSMUSG00000046080,ENSMUSG00000055653,ENSMUSG00000021061,ENSMUSG00000022074,ENSMUSG00000081683,ENSMUSG00000030170,ENSMUSG00000032193,ENSMUSG00000006800,ENSMUSG00000021464,ENSMUSG00000078350,ENSMUSG00000020695,ENSMUSG00000006445,ENSMUSG00000068686,ENSMUSG00000002603,ENSMUSG00000044254,ENSMUSG00000016206,ENSMUSG00000073421,ENSMUSG00000032679,ENSMUSG00000032511,ENSMUSG00000006574,ENSMUSG00000000392,ENSMUSG00000005087,ENSMUSG00000034845,ENSMUSG00000001763,ENSMUSG00000026068,ENSMUSG00000000555,ENSMUSG00000023993,ENSMUSG00000020122,ENSMUSG00000049307,ENSMUSG00000047953,ENSMUSG00000020689,ENSMUSG00000069581,ENSMUSG00000010751,ENSMUSG00000038403,ENSMUSG00000052316,ENSMUSG00000078452,ENSMUSG00000049791,ENSMUSG00000058620,ENSMUSG00000000244,ENSMUSG00000035929,ENSMUSG00000061232,ENSMUSG00000020592,ENSMUSG00000006389,ENSMUSG00000009654,ENSMUSG00000045005,ENSMUSG00000040152,ENSMUSG00000048827,ENSMUSG00000073409,ENSMUSG00000068220,ENSMUSG00000071068,ENSMUSG00000053216,ENSMUSG00000038677,ENSMUSG00000022817,ENSMUSG00000078810,ENSMUSG00000030159,ENSMUSG00000027070,ENSMUSG00000053219,ENSMUSG00000039646"
"GOTERM_CC_DIRECT","external side of plasma membrane","39","862","245","14032","1.10e-7","2.01e-5","2.59","6.03e-5","1.97e-5","3.76e-8","ENSMUSG00000005087,ENSMUSG00000026980,ENSMUSG00000060550,ENSMUSG00000028644,ENSMUSG00000027577,ENSMUSG00000025573,ENSMUSG00000000555,ENSMUSG00000007888,ENSMUSG00000006235,ENSMUSG00000020787,ENSMUSG00000048915,ENSMUSG00000020689,ENSMUSG00000025219,ENSMUSG00000050912,ENSMUSG00000000732,ENSMUSG00000050675,ENSMUSG00000010751,ENSMUSG00000034664,ENSMUSG00000071714,ENSMUSG00000071713,ENSMUSG00000034028,ENSMUSG00000078452,ENSMUSG00000035929,ENSMUSG00000032193,ENSMUSG00000061232,ENSMUSG00000020592,ENSMUSG00000006389,ENSMUSG00000040152,ENSMUSG00000068686,ENSMUSG00000042333,ENSMUSG00000073409,ENSMUSG00000051839,ENSMUSG00000053216,ENSMUSG00000016206,ENSMUSG00000073421,ENSMUSG00000032679,ENSMUSG00000053835,ENSMUSG00000027070,ENSMUSG00000053219"
"GOTERM_CC_DIRECT","extracellular matrix","45","862","315","14032","2.44e-7","3.35e-5","2.33","1.34e-4","3.28e-5","9.59e-8","ENSMUSG00000034205,ENSMUSG00000004098,ENSMUSG00000033453,ENSMUSG00000029373,ENSMUSG00000026043,ENSMUSG00000022483,ENSMUSG00000026147,ENSMUSG00000028369,ENSMUSG00000056174,ENSMUSG00000002633,ENSMUSG00000020583,ENSMUSG00000022449,ENSMUSG00000021613,ENSMUSG00000045672,ENSMUSG00000035273,ENSMUSG00000035493,ENSMUSG00000036103,ENSMUSG00000035279,ENSMUSG00000036446,ENSMUSG00000032796,ENSMUSG00000033544,ENSMUSG00000028197,ENSMUSG00000031740,ENSMUSG00000055653,ENSMUSG00000025082,ENSMUSG00000024053,ENSMUSG00000029163,ENSMUSG00000057751,ENSMUSG00000030170,ENSMUSG00000066842,ENSMUSG00000001435,ENSMUSG00000006369,ENSMUSG00000023886,ENSMUSG00000028339,ENSMUSG00000024598,ENSMUSG00000040152,ENSMUSG00000068220,ENSMUSG00000002603,ENSMUSG00000027907,ENSMUSG00000036596,ENSMUSG00000031825,ENSMUSG00000074852,ENSMUSG00000078810,ENSMUSG00000070436,ENSMUSG00000019997"
"GOTERM_CC_DIRECT","transcription regulator complex","34","862","243","14032","1.42e-5","1.56e-3","2.28","7.77e-3","1.53e-3","5.63e-6","ENSMUSG00000004231,ENSMUSG00000015846,ENSMUSG00000048450,ENSMUSG00000045518,ENSMUSG00000021099,ENSMUSG00000004872,ENSMUSG00000024985,ENSMUSG00000001288,ENSMUSG00000021359,ENSMUSG00000014030,ENSMUSG00000007805,ENSMUSG00000034460,ENSMUSG00000051367,ENSMUSG00000039830,ENSMUSG00000036602,ENSMUSG00000032402,ENSMUSG00000054321,ENSMUSG00000034758,ENSMUSG00000053110,ENSMUSG00000031162,ENSMUSG00000027985,ENSMUSG00000061013,ENSMUSG00000024134,ENSMUSG00000049577,ENSMUSG00000040310,ENSMUSG00000028736,ENSMUSG00000022178,ENSMUSG00000027547,ENSMUSG00000026815,ENSMUSG00000028717,ENSMUSG00000021469,ENSMUSG00000039200,ENSMUSG00000021848,ENSMUSG00000034673"
"GOTERM_CC_DIRECT","plasma membrane","270","862","3529","14032","1.84e-5","1.68e-3","1.25","1.00e-2","1.65e-3","1.44e-5","ENSMUSG00000041957,ENSMUSG00000018819,ENSMUSG00000029710,ENSMUSG00000021675,ENSMUSG00000020105,ENSMUSG00000048915,ENSMUSG00000000732,ENSMUSG00000060470,ENSMUSG00000035273,ENSMUSG00000020901,ENSMUSG00000024827,ENSMUSG00000050675,ENSMUSG00000030029,ENSMUSG00000034981,ENSMUSG00000037336,ENSMUSG00000028173,ENSMUSG00000030494,ENSMUSG00000057751,ENSMUSG00000022074,ENSMUSG00000026674,ENSMUSG00000020695,ENSMUSG00000020334,ENSMUSG00000068523,ENSMUSG00000042351,ENSMUSG00000037440,ENSMUSG00000073421,ENSMUSG00000073422,ENSMUSG00000032679,ENSMUSG00000037446,ENSMUSG00000039748,ENSMUSG00000027075,ENSMUSG00000034845,ENSMUSG00000000392,ENSMUSG00000025572,ENSMUSG00000027636,ENSMUSG00000020689,ENSMUSG00000060131,ENSMUSG00000010751,ENSMUSG00000070867,ENSMUSG00000071714,ENSMUSG00000071713,ENSMUSG00000032303,ENSMUSG00000038403,ENSMUSG00000078452,ENSMUSG00000028036,ENSMUSG00000010529,ENSMUSG00000058620,ENSMUSG00000040717,ENSMUSG00000001014,ENSMUSG00000035929,ENSMUSG00000061232,ENSMUSG00000026532,ENSMUSG00000002104,ENSMUSG00000022178,ENSMUSG00000006389,ENSMUSG00000029007,ENSMUSG00000024114,ENSMUSG00000021763,ENSMUSG00000042333,ENSMUSG00000048827,ENSMUSG00000044197,ENSMUSG00000031209,ENSMUSG00000050106,ENSMUSG00000027071,ENSMUSG00000027070,ENSMUSG00000014444,ENSMUSG00000054675,ENSMUSG00000024981,ENSMUSG00000060550,ENSMUSG00000027577,ENSMUSG00000000531,ENSMUSG00000044345,ENSMUSG00000024868,ENSMUSG00000021118,ENSMUSG00000041075,ENSMUSG00000050199,ENSMUSG00000029084,ENSMUSG00000035873,ENSMUSG00000034664,ENSMUSG00000032128,ENSMUSG00000032369,ENSMUSG00000063838,ENSMUSG00000034898,ENSMUSG00000055653,ENSMUSG00000031264,ENSMUSG00000027562,ENSMUSG00000049892,ENSMUSG00000053110,ENSMUSG00000025389,ENSMUSG00000079164,ENSMUSG00000021464,ENSMUSG00000029866,ENSMUSG00000047963,ENSMUSG00000019278,ENSMUSG00000036030,ENSMUSG00000016206,ENSMUSG00000038217,ENSMUSG00000054204,ENSMUSG00000033688,ENSMUSG00000052151,ENSMUSG00000005087,ENSMUSG00000003341,ENSMUSG00000034648,ENSMUSG00000029851,ENSMUSG00000054690,ENSMUSG00000028644,ENSMUSG00000024165,ENSMUSG00000029859,ENSMUSG00000098112,ENSMUSG00000020120,ENSMUSG00000024600,ENSMUSG00000023993,ENSMUSG00000020122,ENSMUSG00000044447,ENSMUSG00000021215,ENSMUSG00000072568,ENSMUSG00000043110,ENSMUSG00000032902,ENSMUSG00000073414,ENSMUSG00000031139,ENSMUSG00000054342,ENSMUSG00000049791,ENSMUSG00000028876,ENSMUSG00000020592,ENSMUSG00000063975,ENSMUSG00000022656,ENSMUSG00000046733,ENSMUSG00000000409,ENSMUSG00000073409,ENSMUSG00000064267,ENSMUSG00000014361,ENSMUSG00000035165,ENSMUSG00000038677,ENSMUSG00000090523,ENSMUSG00000030159,ENSMUSG00000016664,ENSMUSG00000039646,ENSMUSG00000016918,ENSMUSG00000005220,ENSMUSG00000028463,ENSMUSG00000059883,ENSMUSG00000032041,ENSMUSG00000061048,ENSMUSG00000002633,ENSMUSG00000022123,ENSMUSG00000040466,ENSMUSG00000022367,ENSMUSG00000044026,ENSMUSG00000050957,ENSMUSG00000023216,ENSMUSG00000101389,ENSMUSG00000032849,ENSMUSG00000039232,ENSMUSG00000038146,ENSMUSG00000031997,ENSMUSG00000031740,ENSMUSG00000081683,ENSMUSG00000056380,ENSMUSG00000042759,ENSMUSG00000006445,ENSMUSG00000044254,ENSMUSG00000063594,ENSMUSG00000034330,ENSMUSG00000034573,ENSMUSG00000016487,ENSMUSG00000052229,ENSMUSG00000019996,ENSMUSG00000038811,ENSMUSG00000057123,ENSMUSG00000026389,ENSMUSG00000001763,ENSMUSG00000000555,ENSMUSG00000022464,ENSMUSG00000062393,ENSMUSG00000001403,ENSMUSG00000032702,ENSMUSG00000030523,ENSMUSG00000030762,ENSMUSG00000061878,ENSMUSG00000025161,ENSMUSG00000029762,ENSMUSG00000062609,ENSMUSG00000032492,ENSMUSG00000031283,ENSMUSG00000027347,ENSMUSG00000028435,ENSMUSG00000008843,ENSMUSG00000047986,ENSMUSG00000026815,ENSMUSG00000046410,ENSMUSG00000051839,ENSMUSG00000020838,ENSMUSG00000037148,ENSMUSG00000036853,ENSMUSG00000053219,ENSMUSG00000054667,ENSMUSG00000052920,ENSMUSG00000035403,ENSMUSG00000034435,ENSMUSG00000027293,ENSMUSG00000001588,ENSMUSG00000059040,ENSMUSG00000028825,ENSMUSG00000040146,ENSMUSG00000020782,ENSMUSG00000026525,ENSMUSG00000006235,ENSMUSG00000041237,ENSMUSG00000047216,ENSMUSG00000020787,ENSMUSG00000043895,ENSMUSG00000021636,ENSMUSG00000029917,ENSMUSG00000067586,ENSMUSG00000045394,ENSMUSG00000036687,ENSMUSG00000032402,ENSMUSG00000034028,ENSMUSG00000030695,ENSMUSG00000038859,ENSMUSG00000021061,ENSMUSG00000062585,ENSMUSG00000048960,ENSMUSG00000032193,ENSMUSG00000006800,ENSMUSG00000023243,ENSMUSG00000024331,ENSMUSG00000078350,ENSMUSG00000024697,ENSMUSG00000068686,ENSMUSG00000023926,ENSMUSG00000039942,ENSMUSG00000030217,ENSMUSG00000051212,ENSMUSG00000035104,ENSMUSG00000032511,ENSMUSG00000006574,ENSMUSG00000079110,ENSMUSG00000029334,ENSMUSG00000034923,ENSMUSG00000026980,ENSMUSG00000073010,ENSMUSG00000026068,ENSMUSG00000043079,ENSMUSG00000045377,ENSMUSG00000044042,ENSMUSG00000038963,ENSMUSG00000037994,ENSMUSG00000035697,ENSMUSG00000039814,ENSMUSG00000052316,ENSMUSG00000061838,ENSMUSG00000000244,ENSMUSG00000027820,ENSMUSG00000066842,ENSMUSG00000045005,ENSMUSG00000025407,ENSMUSG00000068220,ENSMUSG00000071068,ENSMUSG00000030559,ENSMUSG00000021728,ENSMUSG00000022817,ENSMUSG00000050147,ENSMUSG00000053897,ENSMUSG00000078810,ENSMUSG00000035200,ENSMUSG00000019779,ENSMUSG00000034115,ENSMUSG00000033149,ENSMUSG00000048070"
"GOTERM_CC_DIRECT","ankyrin-1 complex","5","862","7","14032","4.24e-4","3.25e-2","11.63","2.08e-1","3.19e-2","1.64e-5","ENSMUSG00000006574,ENSMUSG00000023216,ENSMUSG00000051839,ENSMUSG00000023926,ENSMUSG00000028825"
"GOTERM_CC_DIRECT","MHC class I protein complex","6","862","12","14032","4.74e-4","3.25e-2","8.14","2.29e-1","3.19e-2","3.54e-5","ENSMUSG00000073409,ENSMUSG00000035929,ENSMUSG00000060550,ENSMUSG00000061232,ENSMUSG00000016206,ENSMUSG00000053835"
"GOTERM_CC_DIRECT","MHC class Ib protein complex","5","862","8","14032","8.07e-4","4.43e-2","10.17","3.58e-1","4.35e-2","4.14e-5","ENSMUSG00000073409,ENSMUSG00000035929,ENSMUSG00000060550,ENSMUSG00000061232,ENSMUSG00000016206"
"GOTERM_CC_DIRECT","collagen trimer","12","862","59","14032","8.08e-4","4.43e-2","3.31","3.58e-1","4.35e-2","2.05e-4","ENSMUSG00000028197,ENSMUSG00000004098,ENSMUSG00000045532,ENSMUSG00000024053,ENSMUSG00000045672,ENSMUSG00000029163,ENSMUSG00000026043,ENSMUSG00000026147,ENSMUSG00000022483,ENSMUSG00000036103,ENSMUSG00000001435,ENSMUSG00000028339"
