baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000048960	677.410559648152	-1.19551716023781	0.102126827501007	-11.7062009022656	1.18469958611213e-31	1.06246972346927e-30	Prex2
ENSMUSG00000016918	2694.6268229606	-1.17563169976889	0.0949504993933583	-12.3815220275831	3.2904287501161e-35	3.40610127751414e-34	Sulf1
ENSMUSG00000025937	316.238959958195	-1.0421992177871	0.0818005348562573	-12.7407384269368	3.51056268514741e-37	3.99044694210792e-36	Lactb2
ENSMUSG00000025927	339.296035960395	-2.72620070937971	0.131712943359077	-20.6980471307783	3.60692231171774e-95	2.23448837210914e-93	Tfap2b
ENSMUSG00000041859	5796.27278690871	-1.00126059254253	0.10193285900346	-9.8227460931763	8.98616554599694e-23	5.37468133863248e-22	Mcm3
ENSMUSG00000026147	98.9577563796924	-2.16851229487498	0.152148872227437	-14.2525689683288	4.32088829140163e-46	6.5348871088832e-45	Col9a1
ENSMUSG00000026068	24.352658822765	-2.20002346800537	0.305709012764249	-7.19646257109844	6.1794740991971e-13	2.15999976813732e-12	Il18rap
ENSMUSG00000056870	724.730860481859	-1.44581070392854	0.0973065093146892	-14.8583143523604	6.14520175260315e-50	1.05861780352063e-48	Gulp1
ENSMUSG00000026043	10242.4037977817	-1.08446356643552	0.0526277421015581	-20.6063099637218	2.40912485503536e-94	1.46429336000206e-92	Col3a1
ENSMUSG00000084817	7.50331154347435	-2.59629570158969	0.506354904843218	-5.12742283476759	2.93735310480526e-07	6.83106359501853e-07	Gm5526
ENSMUSG00000062939	125.447797959655	-2.33516210971624	0.140628647337228	-16.6051665427493	6.39424371166148e-62	1.54875313479295e-60	Stat4
ENSMUSG00000025983	27.4968534515609	-1.31419067851661	0.222783607909768	-5.89895590096058	3.65808981580596e-09	9.86948955832271e-09	Ccdc150
ENSMUSG00000041075	924.688352360262	-1.36097414558129	0.0826630659844174	-16.4641140438445	6.64280880102914e-61	1.57578381970805e-59	Fzd7
ENSMUSG00000102536	13.0405909201882	-1.69658244380602	0.39050915935337	-4.34453943824347	1.39568168861013e-05	2.79431261136648e-05	1700039I01Rik
ENSMUSG00000087213	82.7333726571742	-1.35248542356546	0.134461349428518	-10.0585441787825	8.42347206870923e-24	5.32483770057691e-23	2810408I11Rik
ENSMUSG00000045005	183.730578012511	-1.58723063671049	0.116808206173772	-13.5883487017104	4.69554981667005e-42	6.17902131512291e-41	Fzd5
ENSMUSG00000026196	575.385043172361	-1.03373273196081	0.101313211210352	-10.2033359678484	1.91576828759152e-24	1.25232466754207e-23	Bard1
ENSMUSG00000073652	13.8878724927439	-1.1300321994647	0.303776579134727	-3.71994510795885	0.000199266081492177	0.000359737589620544	Apol7d
