baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000051951	360.292289116788	1.75401039531901	0.127573412106152	13.7490278449206	5.16184659524148e-43	6.98671118567685e-42	Xkr4
ENSMUSG00000103280	28.8862996998623	2.63827964205936	0.263372367225571	10.0172985869841	1.27952410503359e-23	8.01294508544946e-23	Gm37277
ENSMUSG00000002459	250.410262952642	1.94706016904613	0.0968349579258465	20.1069965924613	6.40888197080074e-90	3.40686012883457e-88	Rgs20
ENSMUSG00000025905	11.990152861595	1.67758310037696	0.382336794360973	4.38771032534502	1.14550200566049e-05	2.31239513788364e-05	Oprk1
ENSMUSG00000103509	157.570167417784	1.79095592878383	0.323043217741343	5.54401340262102	2.95616192870745e-08	7.44680953795605e-08	Gm38372
ENSMUSG00000025909	76.9588680354485	2.21541481742698	0.161452802858525	13.721748883903	7.52286481749243e-43	1.01483068354565e-41	Sntg1
ENSMUSG00000025911	14.6177401394078	2.14302600546814	0.418931676876639	5.11545467615521	3.12986098258811e-07	7.26302706332613e-07	Adhfe1
ENSMUSG00000067879	336.331622969482	2.04533819619862	0.0976842108726476	20.9382680980569	2.4002684834583e-97	1.54644497852251e-95	3110035E14Rik
ENSMUSG00000057715	42.7296874419246	1.05540613294462	0.266302547308967	3.96318451929836	7.39565752053899e-05	0.000138546005679602	A830018L16Rik
ENSMUSG00000025938	1833.65637322635	1.13316591806421	0.067081478042252	16.8923814909158	5.11942131708594e-64	1.3386123239335e-62	Slco5a1
ENSMUSG00000092083	241.977551731031	2.15023599392548	0.132397523238031	16.2407569366663	2.59699819922288e-59	5.85032867061299e-58	Kcnb2
ENSMUSG00000025777	1490.71197249536	1.9208090712732	0.0857294053211129	22.4054869397321	3.47969066459942e-111	3.27762441723409e-109	Gdap1
ENSMUSG00000109887	134.173402196607	3.5045168410215	0.16226703149292	21.5972203890006	1.90753496017078e-103	1.47714738478225e-101	RP24-571A14.6
ENSMUSG00000042596	94.6222006173103	5.9522213194845	0.401151125202716	14.837852733123	8.33824901587387e-50	1.43181425265118e-48	Tfap2d
ENSMUSG00000028033	73.8599829453378	1.70189692434505	0.17943583949926	9.4847101286701	2.43057671894436e-21	1.35464703155837e-20	Kcnq5
ENSMUSG00000041670	305.781511805925	2.24717978633598	0.140700417851041	15.9713796210262	2.02262169269411e-57	4.34378234722987e-56	Rims1
ENSMUSG00000026156	264.079075330952	3.20856236076283	0.160979202051267	19.9315335141306	2.16815827227362e-88	1.10165694925903e-86	B3gat2
ENSMUSG00000026141	13.5029510175426	3.04789161003546	0.4656339600552	6.54568152562182	5.92246707819022e-11	1.8246590900614e-10	Col19a1
ENSMUSG00000033569	910.354272442286	1.68207856881157	0.0923050473514947	18.2230399861696	3.38798938601817e-74	1.19149224979464e-72	Adgrb3
ENSMUSG00000104516	13.2085509534011	1.6719960990079	0.327508409774671	5.10520050510535	3.30443954295657e-07	7.6527113901368e-07	Gm9884
ENSMUSG00000042182	312.932863107908	2.96481713558268	0.170562966480884	17.3825373511838	1.11891420383424e-67	3.25901466205391e-66	Bend6
ENSMUSG00000026131	3837.08793707165	1.06937104205047	0.104499131598038	10.2333007528127	1.40642386953285e-24	9.25378646510031e-24	Dst
ENSMUSG00000045174	516.362602981622	2.73029348958927	0.131385305428566	20.7808132019278	6.45558975159102e-96	4.06172594253424e-94	Amer3
ENSMUSG00000037509	327.825388763519	2.21284961018371	0.107454312521958	20.5933997272702	3.14507061563471e-94	1.8972903522857e-92	Arhgef4
ENSMUSG00000050122	11.7057993635984	1.94911463352136	0.382092312511991	5.10116160334996	3.37575161993767e-07	7.8133684929352e-07	Vwa3b
ENSMUSG00000026113	939.309625662835	1.16566489819687	0.0750896559455642	15.5236414858781	2.40033806886926e-54	4.69202005767926e-53	Inpp4a
ENSMUSG00000037138	1862.12212605224	1.06501529087221	0.0843419319436376	12.6273523303203	1.49214866399776e-36	1.64391508420054e-35	Aff3
ENSMUSG00000048814	1617.90272761223	1.43885707734999	0.0842902204777017	17.0702730304357	2.47041875526007e-65	6.74424320185999e-64	Lonrf2
ENSMUSG00000103046	46.0732575102147	1.49236060112115	0.227745310258186	6.55276106203602	5.64828543916529e-11	1.74218562942618e-10	Gm37309
ENSMUSG00000026077	10.9235033860803	2.30436967727787	0.452397524706897	5.09368321316711	3.51173361185886e-07	8.1129508442643e-07	Npas2
ENSMUSG00000050967	15.8528120905701	2.30781807836598	0.340837456561003	6.7710224740306	1.27875406280979e-11	4.11773124543729e-11	Creg2
ENSMUSG00000100832	520.890635536209	3.24397505371333	0.128394402086986	25.265704742451	7.61241391412188e-141	1.53266438643451e-138	Gm29260
ENSMUSG00000053640	5.81684842392509	5.96874085683003	0.92462325860759	6.45532199332568	1.0798904660016e-10	3.26644051378175e-10	Gm9915
ENSMUSG00000101299	54.7515750456951	2.22323590104414	0.200153737692949	11.1076411895677	1.1516141219909e-28	9.17815371742078e-28	Gm28175
ENSMUSG00000097063	324.77418627785	1.21521423600989	0.105030175531846	11.5701438168255	5.83847232947068e-31	5.11923101855113e-30	Pantr2
ENSMUSG00000041907	344.001378119319	1.06062334846528	0.0803328673717792	13.2028568525599	8.44697094203696e-40	1.03700732441608e-38	Gpr45
ENSMUSG00000026051	36.22356527079	5.31433182694265	0.536276858252828	9.90967957158653	3.77856056231424e-23	2.30622489492972e-22	1500015O10Rik
ENSMUSG00000047343	23.3830013599991	1.45051432663774	0.254546969076854	5.69841523510654	1.20926231646667e-08	3.13598263264026e-08	Mettl21c
ENSMUSG00000026109	234.571431608844	1.55248380994632	0.104029571524029	14.9234855743659	2.31839573613952e-50	4.05015185704982e-49	Tmeff2
ENSMUSG00000041439	353.398997181293	1.45526054084594	0.109484437893853	13.2919396476861	2.57807400448068e-40	3.20904466693743e-39	Mfsd6
